var,alpha,r2,5 Topics,Significant Topics (p<0.05),F-statistic,Prob
Chips_vol,0.17508270317357252,0.441,Small caps;Mining;Phone companies;Bank loans;NASD,Mining;Bank loans,62.58,5.30e-48
LabEq_vol,0.3158635408267819,0.540,Record high;Bond yields;Health insurance;SEC;Reagan,Record high;Bond yields;Health insurance,92.96,1.45e-64
Paper_vol,0.08111308307896872,0.427,M&A;Exchanges/composites;Bush/Obama/Trump;Microchips;Iraq,Bush/Obama/Trump;Iraq,59.11,6.80e-46
Boxes_vol,0.09770099572992257,0.322,Company spokesperson;Marketing;International exchanges;Utilities;Trading activity,Company spokesperson;Utilities,37.64,1.43e-31
Trans_vol,0.06734150657750829,0.176,M&A;Control stakes;Iraq;Buffett;Lawsuits,Iraq;Lawsuits,16.90,3.81e-15
Whlsl_vol,0.08111308307896872,0.331,Small business;Japan;Airlines;Utilities;Options/VIX,Small business;Japan,39.26,9.81e-33
Rtail_vol,0.06734150657750829,0.190,Electronics;Broadcasting;Schools;Germany;Oil market,Schools;Germany,18.55,1.46e-16
Meals_vol,0.10642092440647247,0.307,Company spokesperson;Pharma;Marketing;Systems;Reagan,Company spokesperson;Systems;Reagan,35.10,1.04e-29
Banks_vol,0.14174741629268062,0.565,Financial crisis;SEC;Accounting;Options/VIX;NASD,SEC;Accounting;Options/VIX;NASD,102.8,2.57e-69
Insur_vol,0.09770099572992257,0.336,Credit ratings;Company spokesperson;Financial crisis;International exchanges;Bank loans,International exchanges,40.09,2.50e-33
RlEst_vol,0.09770099572992257,0.399,Publishing;Automotive;International exchanges;Mortgages;National security,National security,52.50,9.96e-42
Fin_vol,0.14174741629268062,0.420,Canada/South Africa;Mortgages;Subsidiaries;Taxes;Private equity/hedge funds,Canada/South Africa;Subsidiaries;Taxes,57.28,9.28e-45
Other_vol,0.125631660247412,0.608,Treasury bonds;Japan;International exchanges;Futures/indices;Elections,Elections,122.6,3.67e-78
